,mid,realfans,created_at,Time,modelfans,dis_per
0,573930836,71025.0,2022-12-19,0,71025,0.0
1,573930836,71055.0,2022-12-20,1,71112,0.0008021954823728098
2,573930836,71120.0,2022-12-21,2,71199,0.0011107986501687288
3,573930836,71206.0,2022-12-22,3,71285,0.0011094570682245878
4,573930836,71273.0,2022-12-23,4,71371,0.0013749947385405413
5,573930836,71305.0,2022-12-24,5,71457,0.0021316878199284764
6,573930836,71628.0,2022-12-25,6,71681,0.0007399341039816831
7,573930836,71722.0,2022-12-26,7,71918,0.0027327737653718522
8,573930836,71946.0,2022-12-27,8,72343,0.005518027409445974
9,573930836,72391.0,2022-12-28,9,72567,0.002431241452666768
10,573930836,72761.0,2022-12-29,10,72654,-0.0014705680240788333
11,573930836,73211.0,2022-12-30,11,72943,-0.0036606520878010133
12,573930836,73438.0,2022-12-31,12,73176,-0.003567635284185299
13,573930836,73565.0,2023-01-01,13,73263,-0.004105213076870794
14,573930836,73859.0,2023-01-02,14,73489,-0.005009545214530389
15,573930836,74053.0,2023-01-03,15,73778,-0.003713556506826192
16,573930836,74252.0,2023-01-04,16,73864,-0.00522544847276841
17,573930836,74395.0,2023-01-05,17,74020,-0.005040661334767121
18,573930836,74507.0,2023-01-06,18,74241,-0.003570134349792637
19,573930836,74604.0,2023-01-07,19,74330,-0.003672725323038979
20,573930836,74815.0,2023-01-08,20,74551,-0.0035287041368709483
21,573930836,74961.0,2023-01-09,21,74841,-0.0016008324328650899
22,573930836,75060.0,2023-01-10,22,75063,3.9968025579536374e-05
23,573930836,75169.0,2023-01-11,23,75150,-0.0002527637722997512
24,573930836,75294.0,2023-01-12,24,75237,-0.0007570324328631763
25,573930836,75405.0,2023-01-13,25,75324,-0.0010741993236522778
26,573930836,75468.0,2023-01-14,26,75410,-0.000768537658345259
27,573930836,75551.0,2023-01-15,27,75497,-0.0007147489775118794
28,573930836,75627.0,2023-01-16,28,75721,0.0012429423354093116
29,573930836,75690.0,2023-01-17,29,75808,0.0015589906196327124
30,573930836,75716.0,2023-01-18,30,75894,0.002350890168524486
,mid,realfans,created_at,Time,modelfans,dis_per
0,573930836,71025.0,2022-12-19,0,71025,0.0
1,573930836,71055.0,2022-12-20,1,71112,0.0008021954823728098
2,573930836,71120.0,2022-12-21,2,71199,0.0011107986501687288
3,573930836,71206.0,2022-12-22,3,71285,0.0011094570682245878
4,573930836,71273.0,2022-12-23,4,71371,0.0013749947385405413
5,573930836,71305.0,2022-12-24,5,71457,0.0021316878199284764
6,573930836,71628.0,2022-12-25,6,71681,0.0007399341039816831
7,573930836,71722.0,2022-12-26,7,71918,0.0027327737653718522
8,573930836,71946.0,2022-12-27,8,72343,0.005518027409445974
9,573930836,72391.0,2022-12-28,9,72567,0.002431241452666768
10,573930836,72761.0,2022-12-29,10,72654,-0.0014705680240788333
11,573930836,73211.0,2022-12-30,11,72943,-0.0036606520878010133
12,573930836,73438.0,2022-12-31,12,73176,-0.003567635284185299
13,573930836,73565.0,2023-01-01,13,73263,-0.004105213076870794
14,573930836,73859.0,2023-01-02,14,73489,-0.005009545214530389
15,573930836,74053.0,2023-01-03,15,73778,-0.003713556506826192
16,573930836,74252.0,2023-01-04,16,73864,-0.00522544847276841
17,573930836,74395.0,2023-01-05,17,74020,-0.005040661334767121
18,573930836,74507.0,2023-01-06,18,74241,-0.003570134349792637
19,573930836,74604.0,2023-01-07,19,74330,-0.003672725323038979
20,573930836,74815.0,2023-01-08,20,74551,-0.0035287041368709483
21,573930836,74961.0,2023-01-09,21,74841,-0.0016008324328650899
22,573930836,75060.0,2023-01-10,22,75063,3.9968025579536374e-05
23,573930836,75169.0,2023-01-11,23,75150,-0.0002527637722997512
24,573930836,75294.0,2023-01-12,24,75237,-0.0007570324328631763
25,573930836,75405.0,2023-01-13,25,75324,-0.0010741993236522778
26,573930836,75468.0,2023-01-14,26,75410,-0.000768537658345259
27,573930836,75551.0,2023-01-15,27,75497,-0.0007147489775118794
28,573930836,75627.0,2023-01-16,28,75721,0.0012429423354093116
29,573930836,75690.0,2023-01-17,29,75808,0.0015589906196327124
30,573930836,75716.0,2023-01-18,30,75894,0.002350890168524486
,mid,realfans,created_at,Time,modelfans,dis_per
0,573930836,71025.0,2022-12-19,0,71025.0,0.0
1,573930836,71055.0,2022-12-20,1,71111.0,0.0007881218774189008
2,573930836,71120.0,2022-12-21,2,71197.0,0.0010826771653543307
3,573930836,71206.0,2022-12-22,3,71282.0,0.001067325787152768
4,573930836,71273.0,2022-12-23,4,71367.0,0.0013188725043143967
5,573930836,71305.0,2022-12-24,5,71452.0,0.002061566510062408
6,573930836,71628.0,2022-12-25,6,71675.0,0.0006561679790026247
7,573930836,71722.0,2022-12-26,7,71911.0,0.0026351747023228575
8,573930836,71946.0,2022-12-27,8,72335.0,0.005406832902454619
9,573930836,72391.0,2022-12-28,9,72558.0,0.002306916605655399
10,573930836,72761.0,2022-12-29,10,72644.0,-0.0016080042880114347
11,573930836,73211.0,2022-12-30,11,72932.0,-0.0038109027331958314
12,573930836,73438.0,2022-12-31,12,73164.0,-0.003731038426972412
13,573930836,73565.0,2023-01-01,13,73250.0,-0.004281927547067219
14,573930836,73859.0,2023-01-02,14,73475.0,-0.005199095573999106
15,573930836,74053.0,2023-01-03,15,73763.0,-0.003916114134471257
16,573930836,74252.0,2023-01-04,16,73848.0,-0.005440930884016592
17,573930836,74395.0,2023-01-05,17,74003.0,-0.005269171315276564
18,573930836,74507.0,2023-01-06,18,74223.0,-0.0038117223885004094
19,573930836,74604.0,2023-01-07,19,74311.0,-0.003927403356388397
20,573930836,74815.0,2023-01-08,20,74532.0,-0.0037826639042972668
21,573930836,74961.0,2023-01-09,21,74821.0,-0.0018676378383426049
22,573930836,75060.0,2023-01-10,22,75042.0,-0.00023980815347721823
23,573930836,75169.0,2023-01-11,23,75128.0,-0.0005454376139099895
24,573930836,75294.0,2023-01-12,24,75214.0,-0.001062501660158844
25,573930836,75405.0,2023-01-13,25,75300.0,-0.0013924806047344342
26,573930836,75468.0,2023-01-14,26,75386.0,-0.0010865532411088144
27,573930836,75551.0,2023-01-15,27,75472.0,-0.0010456512819155273
28,573930836,75627.0,2023-01-16,28,75695.0,0.0008991497745514168
29,573930836,75690.0,2023-01-17,29,75781.0,0.0012022724270048884
30,573930836,75716.0,2023-01-18,30,75867.0,0.00199429446880448
31,573930836,75742.0,2023-01-18,31,,
,mid,realfans,created_at,Time,modelfans,dis_per
0,573930836,71025.0,2022-12-19,0,71025,0.0
1,573930836,71055.0,2022-12-20,1,71112,0.0008021954823728098
2,573930836,71120.0,2022-12-21,2,71199,0.0011107986501687288
3,573930836,71206.0,2022-12-22,3,71285,0.0011094570682245878
4,573930836,71273.0,2022-12-23,4,71370,0.0013609641799840052
5,573930836,71305.0,2022-12-24,5,71455,0.002103639295982049
6,573930836,71628.0,2022-12-25,6,71691,0.0008795443122801139
7,573930836,71722.0,2022-12-26,7,71952,0.0032068263573241124
8,573930836,71946.0,2022-12-27,8,72408,0.00642148277875073
9,573930836,72391.0,2022-12-28,9,72644,0.003494909588208479
10,573930836,72761.0,2022-12-29,10,72731,-0.00041230879179780377
11,573930836,73211.0,2022-12-30,11,73040,-0.0023357145784103483
12,573930836,73438.0,2022-12-31,12,73293,-0.001974454642010948
13,573930836,73565.0,2023-01-01,13,73380,-0.0025147828451029704
14,573930836,73859.0,2023-01-02,14,73620,-0.003235895422358819
15,573930836,74053.0,2023-01-03,15,73928,-0.001687980230375542
16,573930836,74252.0,2023-01-04,16,74013,-0.003218768518019717
17,573930836,74395.0,2023-01-05,17,74175,-0.002957187983063378
18,573930836,74507.0,2023-01-06,18,74406,-0.001355577328304723
19,573930836,74604.0,2023-01-07,19,74496,-0.001447643557986167
20,573930836,74815.0,2023-01-08,20,74727,-0.001176234712290316
21,573930836,74961.0,2023-01-09,21,75038,0.0010272008110884326
22,573930836,75060.0,2023-01-10,22,75270,0.002797761790567546
23,573930836,75169.0,2023-01-11,23,75357,0.0025010310101238544
24,573930836,75294.0,2023-01-12,24,75444,0.0019921906127978325
25,573930836,75405.0,2023-01-13,25,75531,0.0016709767256813208
26,573930836,75468.0,2023-01-14,26,75617,0.0019743467429904067
27,573930836,75551.0,2023-01-15,27,75703,0.002011886010774179
28,573930836,75627.0,2023-01-16,28,75938,0.004112287939492509
29,573930836,75690.0,2023-01-17,29,76024,0.004412736160655305
30,573930836,75716.0,2023-01-18,30,76110,0.005203655766284537
31,573930836,75742.0,2023-01-18,31,76418,0.008925034987193367
,mid,realfans,created_at,Time,modelfans,dis_per
0,573930836,71025.0,2022-12-19,0,71025,0.0
1,573930836,71055.0,2022-12-20,1,71111,0.0007881218774189008
2,573930836,71120.0,2022-12-21,2,71197,0.0010826771653543307
3,573930836,71206.0,2022-12-22,3,71282,0.001067325787152768
4,573930836,71273.0,2022-12-23,4,71367,0.0013188725043143967
5,573930836,71305.0,2022-12-24,5,71452,0.002061566510062408
6,573930836,71628.0,2022-12-25,6,71688,0.0008376612497905847
7,573930836,71722.0,2022-12-26,7,71949,0.003164998187445972
8,573930836,71946.0,2022-12-27,8,72405,0.006379784838628972
9,573930836,72391.0,2022-12-28,9,72641,0.0034534679725380228
10,573930836,72761.0,2022-12-29,10,72728,-0.00045353967097758413
11,573930836,73211.0,2022-12-30,11,73037,-0.0023766920271543895
12,573930836,73438.0,2022-12-31,12,73290,-0.0020153054277077262
13,573930836,73565.0,2023-01-01,13,73377,-0.0025555631074559914
14,573930836,73859.0,2023-01-02,14,73617,-0.003276513356530687
15,573930836,74053.0,2023-01-03,15,73925,-0.0017284917559045548
16,573930836,74252.0,2023-01-04,16,74010,-0.0032591714701287505
17,573930836,74395.0,2023-01-05,17,74172,-0.002997513273741515
18,573930836,74507.0,2023-01-06,18,74403,-0.001395842001422685
19,573930836,74604.0,2023-01-07,19,74493,-0.0014878558790413384
20,573930836,74815.0,2023-01-08,20,74724,-0.0012163336229365769
21,573930836,74961.0,2023-01-09,21,75034,0.0009738397299929297
22,573930836,75060.0,2023-01-10,22,75266,0.002744471089794831
23,573930836,75169.0,2023-01-11,23,75352,0.0024345142279397092
24,573930836,75294.0,2023-01-12,24,75439,0.0019257842590379047
25,573930836,75405.0,2023-01-13,25,75526,0.0016046681254558717
26,573930836,75468.0,2023-01-14,26,75612,0.0019080934965813325
27,573930836,75551.0,2023-01-15,27,75698,0.0019457055498934494
28,573930836,75627.0,2023-01-16,28,75861,0.003094133047721052
29,573930836,75690.0,2023-01-17,29,75947,0.003395428722420399
30,573930836,75716.0,2023-01-18,30,76032,0.004173490411537852
,mid,realfans,created_at,Time,modelfans,dis_per
0,573930836,71025.0,2022-12-19,0,71025,0.0
1,573930836,71055.0,2022-12-20,1,71126,0.000999225951727535
2,573930836,71120.0,2022-12-21,2,71227,0.0015044994375703036
3,573930836,71206.0,2022-12-22,3,71328,0.0017133387635873381
4,573930836,71273.0,2022-12-23,4,71429,0.002188767134819637
5,573930836,71305.0,2022-12-24,5,71530,0.0031554589439730736
6,573930836,71628.0,2022-12-25,6,71712,0.0011727257497068187
7,573930836,71722.0,2022-12-26,7,71898,0.002453919299517582
8,573930836,71946.0,2022-12-27,8,72266,0.004447780279654185
9,573930836,72391.0,2022-12-28,9,72449,0.0008012045696288212
10,573930836,72761.0,2022-12-29,10,72552,-0.002872417916191366
11,573930836,73211.0,2022-12-30,11,72841,-0.005053885345098414
12,573930836,73438.0,2022-12-31,12,73028,-0.005582940711893025
13,573930836,73565.0,2023-01-01,13,73132,-0.005885951199619384
14,573930836,73859.0,2023-01-02,14,73318,-0.007324767462326866
15,573930836,74053.0,2023-01-03,15,73608,-0.006009209620136929
16,573930836,74252.0,2023-01-04,16,73713,-0.007259063728923126
17,573930836,74395.0,2023-01-05,17,73859,-0.007204785267827139
18,573930836,74507.0,2023-01-06,18,74044,-0.006214181217872147
19,573930836,74604.0,2023-01-07,19,74150,-0.006085464586349258
20,573930836,74815.0,2023-01-08,20,74336,-0.00640245939985297
21,573930836,74961.0,2023-01-09,21,74628,-0.004442310001200624
22,573930836,75060.0,2023-01-10,22,74815,-0.0032640554223288035
23,573930836,75169.0,2023-01-11,23,74922,-0.003285929039896766
24,573930836,75294.0,2023-01-12,24,75029,-0.003519536749276171
25,573930836,75405.0,2023-01-13,25,75136,-0.003567402692129169
26,573930836,75468.0,2023-01-14,26,75243,-0.002981396088408332
27,573930836,75551.0,2023-01-15,27,75350,-0.0026604545274053286
28,573930836,75627.0,2023-01-16,28,75499,-0.0016925172226850199
29,573930836,75690.0,2023-01-17,29,75607,-0.0010965781477077553
30,573930836,75716.0,2023-01-18,30,75715,-1.3207248137778012e-05
,mid,realfans,created_at,Time,modelfans,dis_per
0,573930836,71025.0,2022-12-19,0,71025,0.0
1,573930836,71055.0,2022-12-20,1,71125,0.000985152346773626
2,573930836,71120.0,2022-12-21,2,71225,0.0014763779527559055
3,573930836,71206.0,2022-12-22,3,71325,0.0016712074825155183
4,573930836,71273.0,2022-12-23,4,71425,0.0021326449005934925
5,573930836,71305.0,2022-12-24,5,71525,0.0030853376341070052
6,573930836,71628.0,2022-12-25,6,71706,0.00108895962472776
7,573930836,71722.0,2022-12-26,7,71891,0.002356320236468587
8,573930836,71946.0,2022-12-27,8,72258,0.004336585772662831
9,573930836,72391.0,2022-12-28,9,72441,0.0006906935945076045
10,573930836,72761.0,2022-12-29,10,72543,-0.0029961105537307073
11,573930836,73211.0,2022-12-30,11,72831,-0.005190476840911885
12,573930836,73438.0,2022-12-31,12,73017,-0.005732726926114546
13,573930836,73565.0,2023-01-01,13,73120,-0.006049072249031469
14,573930836,73859.0,2023-01-02,14,73305,-0.007500778510404961
15,573930836,74053.0,2023-01-03,15,73594,-0.00619826340593899
16,573930836,74252.0,2023-01-04,16,73698,-0.007461078489468297
17,573930836,74395.0,2023-01-05,17,73843,-0.0074198534847772024
18,573930836,74507.0,2023-01-06,18,74028,-0.006428926141167944
19,573930836,74604.0,2023-01-07,19,74134,-0.0062999302986435045
20,573930836,74815.0,2023-01-08,20,74320,-0.006616320256633028
21,573930836,74961.0,2023-01-09,21,74611,-0.004669094595856512
22,573930836,75060.0,2023-01-10,22,74798,-0.003490540900612843
23,573930836,75169.0,2023-01-11,23,74904,-0.003525389455759688
24,573930836,75294.0,2023-01-12,24,75011,-0.0037585996228119106
25,573930836,75405.0,2023-01-13,25,75118,-0.0038061136529407864
26,573930836,75468.0,2023-01-14,26,75225,-0.0032199077754809986
27,573930836,75551.0,2023-01-15,27,75332,-0.0028987041865759554
28,573930836,75627.0,2023-01-16,28,75481,-0.0019305274571251008
29,573930836,75690.0,2023-01-17,29,75588,-0.0013476020610384463
30,573930836,75716.0,2023-01-18,30,75696,-0.00026414496275556024
,mid,realfans,created_at,Time,modelfans,dis_per
0,573930836,68957.0,2022-11-01,0,68957,0.0
1,573930836,69043.0,2022-11-02,1,69192,0.0021580754022855323
2,573930836,69361.0,2022-11-03,2,69428,0.0009659606983751676
3,573930836,69425.0,2022-11-04,3,69506,0.001166726683471372
4,573930836,69637.0,2022-11-05,4,69504,-0.001909904217585479
5,573930836,69750.0,2022-11-06,5,69502,-0.0035555555555555557
6,573930836,69778.0,2022-11-07,6,69685,-0.0013327983031901172
7,573930836,69790.0,2022-11-08,7,69683,-0.0015331709413956155
8,573930836,69854.0,2022-11-09,8,69786,-0.0009734589286225557
9,573930836,69889.0,2022-11-10,9,69864,-0.0003577100831318233
10,573930836,69939.0,2022-11-11,10,69902,-0.0005290324425570855
11,573930836,69944.0,2022-11-12,11,70086,0.0020301955850394603
12,573930836,69974.0,2022-11-13,12,70189,0.003072569811644325
13,573930836,69954.0,2022-11-14,13,70188,0.003345055322068788
14,573930836,69956.0,2022-11-15,14,70187,0.0033020755903710904
15,573930836,69963.0,2022-11-16,15,70186,0.0031873990537855724
16,573930836,69967.0,2022-11-17,16,70185,0.003115754570011577
17,573930836,69984.0,2022-11-18,17,70184,0.0028577960676726107
18,573930836,70010.0,2022-11-19,18,70183,0.002471075560634195
19,573930836,70027.0,2022-11-20,19,70182,0.0022134319619575306
20,573930836,70105.0,2022-11-21,20,70285,0.0025675772056201413
21,573930836,70198.0,2022-11-22,21,70364,0.0023647397361748197
22,573930836,70289.0,2022-11-23,22,70363,0.0010527963123675114
23,573930836,70327.0,2022-11-24,23,70362,0.0004976751461032036
24,573930836,70349.0,2022-11-25,24,70361,0.00017057811767047152
25,573930836,70363.0,2022-11-26,25,70360,-4.263604451203047e-05
26,573930836,70396.0,2022-11-27,26,70399,4.2616057730552875e-05
27,573930836,70411.0,2022-11-28,27,70398,-0.00018463024243371064
28,573930836,70439.0,2022-11-29,28,70397,-0.000596260594273059
,mid,realfans,created_at,Time,modelfans,dis_per
0,573930836,68957.0,2022-11-01,0,68957,0.0
1,573930836,69043.0,2022-11-02,1,69162,0.17235635763220022
2,573930836,69361.0,2022-11-03,2,69369,0.011533859085076629
3,573930836,69425.0,2022-11-04,3,69451,0.037450486136118115
4,573930836,69637.0,2022-11-05,4,69452,-0.265663368611514
5,573930836,69750.0,2022-11-06,5,69534,-0.3096774193548387
6,573930836,69778.0,2022-11-07,6,69616,-0.23216486571698816
7,573930836,69790.0,2022-11-08,7,69617,-0.24788651669293596
8,573930836,69854.0,2022-11-09,8,69743,-0.15890285452515246
9,573930836,69889.0,2022-11-10,9,69825,-0.09157378128174677
10,573930836,69939.0,2022-11-11,10,69867,-0.1029468536867842
11,573930836,69944.0,2022-11-12,11,70012,0.09722063364977697
12,573930836,69974.0,2022-11-13,12,70076,0.14576842827335867
13,573930836,69954.0,2022-11-14,13,70078,0.17725934185321782
14,573930836,69956.0,2022-11-15,14,70080,0.1772542741151581
15,573930836,69963.0,2022-11-16,15,70082,0.17008990466389376
16,573930836,69967.0,2022-11-17,16,70084,0.16722169022539196
17,573930836,69984.0,2022-11-18,17,70086,0.14574759945130317
18,573930836,70010.0,2022-11-19,18,70088,0.11141265533495215
19,573930836,70027.0,2022-11-20,19,70090,0.08996529909891898
20,573930836,70105.0,2022-11-21,20,70217,0.1597603594608088
21,573930836,70198.0,2022-11-22,21,70363,0.2350494316077381
22,573930836,70289.0,2022-11-23,22,70365,0.10812502667558224
23,573930836,70327.0,2022-11-24,23,70367,0.05687715955465184
24,573930836,70349.0,2022-11-25,24,70369,0.028429686278411918
25,573930836,70363.0,2022-11-26,25,70371,0.011369611869874792
26,573930836,70396.0,2022-11-27,26,70413,0.02414909938064663
27,573930836,70411.0,2022-11-28,27,70415,0.005680930536421866
28,573930836,70439.0,2022-11-29,28,70417,-0.03123269779525547
,mid,realfans,created_at,Time,modelfans,dis_per
0,573930836,68957.0,2022-11-01,0,68957,0.0
1,573930836,69043.0,2022-11-02,1,69162,0.17235635763220022
2,573930836,69361.0,2022-11-03,2,69369,0.011533859085076629
3,573930836,69425.0,2022-11-04,3,69451,0.037450486136118115
4,573930836,69637.0,2022-11-05,4,69452,-0.265663368611514
5,573930836,69750.0,2022-11-06,5,69534,-0.3096774193548387
6,573930836,69778.0,2022-11-07,6,69616,-0.23216486571698816
7,573930836,69790.0,2022-11-08,7,69617,-0.24788651669293596
8,573930836,69854.0,2022-11-09,8,69743,-0.15890285452515246
9,573930836,69889.0,2022-11-10,9,69825,-0.09157378128174677
10,573930836,69939.0,2022-11-11,10,69867,-0.1029468536867842
11,573930836,69944.0,2022-11-12,11,70012,0.09722063364977697
12,573930836,69974.0,2022-11-13,12,70076,0.14576842827335867
13,573930836,69954.0,2022-11-14,13,70078,0.17725934185321782
14,573930836,69956.0,2022-11-15,14,70080,0.1772542741151581
15,573930836,69963.0,2022-11-16,15,70082,0.17008990466389376
16,573930836,69967.0,2022-11-17,16,70084,0.16722169022539196
17,573930836,69984.0,2022-11-18,17,70086,0.14574759945130317
18,573930836,70010.0,2022-11-19,18,70088,0.11141265533495215
19,573930836,70027.0,2022-11-20,19,70090,0.08996529909891898
20,573930836,70105.0,2022-11-21,20,70217,0.1597603594608088
21,573930836,70198.0,2022-11-22,21,70363,0.2350494316077381
22,573930836,70289.0,2022-11-23,22,70365,0.10812502667558224
23,573930836,70327.0,2022-11-24,23,70367,0.05687715955465184
24,573930836,70349.0,2022-11-25,24,70369,0.028429686278411918
25,573930836,70363.0,2022-11-26,25,70371,0.011369611869874792
26,573930836,70396.0,2022-11-27,26,70413,0.02414909938064663
27,573930836,70411.0,2022-11-28,27,70415,0.005680930536421866
28,573930836,70439.0,2022-11-29,28,70417,-0.03123269779525547
